Strain,Antibiotic,Status,IC50,IC50_ci_lower,IC50_ci_upper,insufficient_drug
DEAD_H0,AZTREONAM,PASS,0.1166529039576117,0.1166529039576117,0.1166529039576117,True
SVL_MIX_H0,AZTREONAM,PASS,0.1166529039576117,0.1166529039576117,0.1166529039576117,True
CML_MIX_H0,AZTREONAM,PASS,0.1166529039576117,0.1166529039576117,0.1166529039576117,True
WT_H0,AZTREONAM,PASS,0.1166529039576117,0.1166529039576117,0.1166529039576117,True
DEAD_H3,AZTREONAM,PASS,0.1166529039576117,0.1166529039576117,0.1166529039576117,True
SVL_MIX_H3,AZTREONAM,PASS,0.1166529039576117,0.1166529039576117,0.1166529039576117,True
CML_MIX_H3,AZTREONAM,PASS,0.1166529039576117,0.1166529039576117,0.1166529039576117,True
WT_H3,AZTREONAM,PASS,0.1166529039576117,0.1166529039576117,0.1166529039576117,True
DEAD_H6,AZTREONAM,FAIL,,,,False
SVL_MIX_H6,AZTREONAM,PASS,0.00016866494949776252,0.00010249341706118902,0.00018834379148079453,False
CML_MIX_H6,AZTREONAM,PASS,0.00017649816219029646,0.00012677078680878523,0.00020237805941307788,False
WT_H6,AZTREONAM,PASS,0.00030943670873587273,0.00011098517494321676,0.0003262119683880626,False
DEAD_H9,AZTREONAM,PASS,0.00018083587779768373,6.271232422057606e-05,0.00018656935073167654,False
SVL_MIX_H9,AZTREONAM,PASS,0.0003164932634859101,0.0002358128121644199,0.0003562527021994946,False
CML_MIX_H9,AZTREONAM,PASS,0.00041610784512237603,0.00032126342317653355,0.00046283517736558737,False
WT_H9,AZTREONAM,PASS,0.00048349439543113684,0.00040709846655752606,0.0005273775185867622,False
DEAD_H12.45,AZTREONAM,PASS,0.00017515953816520276,2.9661907993509956e-05,0.00018341423618348267,False
SVL_MIX_H12.45,AZTREONAM,PASS,0.0009488792610436,0.000877805702957013,0.0010015783999211998,False
CML_MIX_H12.45,AZTREONAM,PASS,0.001383078782231654,0.0012673570073204563,0.0014941993443698396,False
WT_H12.45,AZTREONAM,PASS,0.0011073874198373507,0.0010475137199137362,0.0011515153649943862,False
DEAD_H24,AZTREONAM,PASS,0.0001473930129013897,0.00012163211346037635,0.00018415135424263804,False
SVL_MIX_H24,AZTREONAM,PASS,0.006333116669249873,0.005211678975758057,0.007960531501246274,False
CML_MIX_H24,AZTREONAM,PASS,0.018181683765672862,0.01659608901239174,0.02282201159303596,False
WT_H24,AZTREONAM,PASS,0.007727856906150031,0.007433107412821899,0.008012076205912686,False
