Strain,Antibiotic,Status,IC50,IC50_ci_lower,IC50_ci_upper,insufficient_drug
DEAD_H0,CEFEPIME,PASS,0.05832645197880584,0.05832645197880584,0.05832645197880584,True
SVL_MIX_H0,CEFEPIME,PASS,0.05832645197880584,0.05832645197880584,0.05832645197880584,True
CML_MIX_H0,CEFEPIME,PASS,0.05832645197880584,0.05832645197880584,0.05832645197880584,True
WT_H0,CEFEPIME,PASS,0.05832645197880584,0.05832645197880584,0.05832645197880584,True
DEAD_H3,CEFEPIME,PASS,0.05832645197880584,0.05832645197880584,0.05832645197880584,True
SVL_MIX_H3,CEFEPIME,PASS,0.004403981676213187,0.003705065517034815,0.004682438535413785,False
CML_MIX_H3,CEFEPIME,PASS,0.002590672687335454,0.002043150512470266,0.003099530863829291,False
WT_H3,CEFEPIME,PASS,0.008157612509820928,0.007331836750990386,0.009224428547120491,False
DEAD_H6,CEFEPIME,PASS,0.00016335121633815364,2.232946020493075e-05,0.0002488784640176804,False
SVL_MIX_H6,CEFEPIME,PASS,9.319588522744956e-05,4.592942266768356e-05,9.319588522795278e-05,False
CML_MIX_H6,CEFEPIME,PASS,9.310257079076882e-05,4.755042598609215e-05,9.315694465461484e-05,False
WT_H6,CEFEPIME,PASS,8.27713251577882e-05,2.8354714099757648e-05,9.437654860881833e-05,False
DEAD_H9,CEFEPIME,PASS,8.98937979313683e-05,4.0214197566569995e-05,9.269808687225785e-05,False
SVL_MIX_H9,CEFEPIME,PASS,8.844114030608675e-05,7.482386070107764e-05,9.554749086681962e-05,False
CML_MIX_H9,CEFEPIME,PASS,9.351156151439349e-05,8.208961044749338e-05,9.730375640005164e-05,False
WT_H9,CEFEPIME,PASS,0.00011465376573697847,9.581665695751278e-05,0.00012391799342932407,False
DEAD_H12.45,CEFEPIME,FAIL,,,,False
SVL_MIX_H12.45,CEFEPIME,PASS,0.00027280878253730024,0.000253535545694609,0.0002892655327516778,False
CML_MIX_H12.45,CEFEPIME,PASS,0.000296502806240182,0.0002799922665782264,0.00030936399264423905,False
WT_H12.45,CEFEPIME,PASS,0.00043151722512751485,0.00039571897353555993,0.00046388031871482727,False
DEAD_H24,CEFEPIME,PASS,7.022714608299743e-05,5.997544792181783e-05,8.98384402542797e-05,False
SVL_MIX_H24,CEFEPIME,PASS,0.0015642525955115812,0.0013389625801975408,0.002009872305918142,False
CML_MIX_H24,CEFEPIME,PASS,0.002347882931488891,0.0021339490991763538,0.0028868329498037107,False
WT_H24,CEFEPIME,PASS,0.0031656209564000903,0.003038683989738542,0.0033957071995666167,False
